surv,num,modeid,modechos,choiflag,frstpref,rankpref,freq,excpt,timev,timew,apd,op,opb,opw,opc,f1gensvc,f2convac,f3psych,bwlk,stop,trpurpos,age,sex,drivlic,married,famsize,ncars,educ,lres,work,income,ptevop,congevop,freq1,freq2,freqk,busseat,bstdt,cost,nmisop
544,387,1,0,1,0,2,1,0.268,22,0,0,0.5007,0.5007,0,0,0.1663,-1.3141,1.0302,0.5,2,1,6,2,1,1,5,2,4,5,3,5,4,3,0,1,1,10,1,1,0
544,387,2,0,1,0,1,0,0.243,0,15,0,-1.1333,0,-1.1333,0,-1.1867,0.9873,0.6239,0,2,1,6,2,1,1,5,2,4,5,3,5,4,3,0,0,0,0,0,1,0
544,387,3,1,1,1,3,30,0.928,4,0,0.5,0.4461,0,0,0.4461,1.2491,0.4751,0.628,0,2,1,6,2,1,1,5,2,4,5,3,5,4,3,0,0,0,0,0,-1.2,0
545,388,1,1,1,0,2,5,0.129,20,0,0,0.8335,0.8335,0,0,0.5956,-1.3408,-0.6472,3,2,5,5,2,2,1,3,2,2,5,3,0,3,4,1,1,2,8,1,0.8,0
545,388,2,0,1,0,1,0,-0.159,0,-9,0,-2.7057,0,-2.7057,0,-1.9573,0.4987,0.3478,0,2,5,5,2,2,1,3,2,2,5,3,0,3,4,0,0,0,0,0,0.8,0
545,388,3,0,1,1,3,8,0.88,7,0,1,0.0312,0,0,0.0312,1.0979,0.4724,0.2253,0,2,5,5,2,2,1,3,2,2,5,3,0,3,4,0,0,0,0,0,0.8,0
546,389,1,0,1,0,2,1,0.11,30,0,0,-0.5916,-0.5916,0,0,-0.5722,-0.5466,-0.0801,6,1,5,4,2,1,1,3,1,4,4,2,4,3,3,1,1,2,10,1,1.2,0
546,389,2,0,1,0,1,0,0.055,0,30,0,-0.8106,0,-0.8106,0,-1.8827,1.5922,-0.8811,0,1,5,4,2,1,1,3,1,4,4,2,4,3,3,0,0,0,0,0,1.2,0
546,389,3,1,1,1,3,7,1.207,5,0,0.5,1.3847,0,0,1.3847,1.5775,0.7406,0.8798,0,1,5,4,2,1,1,3,1,4,4,2,4,3,3,0,0,0,0,0,1.2,0
547,390,1,0,1,0,2,0,0.504,20,0,0,-0.3983,-0.3983,0,0,0.6455,-0.7395,-0.0347,1.5,2,1,6,1,1,2,1,1,5,5,2,0,2,2,1,0,1,10,1,0.6,0
547,390,2,0,1,0,1,0,-0.033,0,45,0,-1.8038,0,-1.8038,0,-0.6545,-0.5294,-0.3225,0,2,1,6,1,1,2,1,1,5,5,2,0,2,2,0,0,0,0,0,0.6,0
547,390,3,1,1,1,3,1,0.494,15,0,0,1.0189,0,0,1.0189,0.8023,-0.2497,-0.8933,0,2,1,6,1,1,2,1,1,5,5,2,0,2,2,0,0,0,0,0,-0.4,0
548,391,1,1,1,0,2,5,0.3,20,0,0,999,999,0,0,0.3592,-1.1088,0.7848,0.5,2,6,6,2,2,2,1,0,4,5,2,3,3,4,1,1,2,10,1,-1,11
548,391,2,0,1,0,1,0,-0.1,0,50,0,999,0,999,0,-1.1196,0.6928,0.2911,0,2,6,6,2,2,2,1,0,4,5,2,3,3,4,0,0,0,0,0,1,11
548,391,3,0,1,1,3,0,0.8,10,0,0,999,0,0,999,1.0231,-0.9018,-0.1804,0,2,6,6,2,2,2,1,0,4,5,2,3,3,4,0,0,0,0,0,-0.6,11
549,392,1,0,1,0,2,0,0.119,35,0,0,-0.2825,-0.2825,0,0,-0.2654,-1.1127,1.9005,3,1,1,3,2,1,1,2,1,7,4,1,5,3,2,1,1,2,10,3,0.8,0
549,392,2,0,1,0,1,0,-0.135,0,60,0,0.2912,0,0.2912,0,-1.4943,0.3169,0.3281,0,1,1,3,2,1,1,2,1,7,4,1,5,3,2,0,0,0,0,0,0.8,0
549,392,3,1,1,1,3,46,0.765,15,0,0.5,0.9897,0,0,0.9897,1.0053,0.6298,-0.2569,0,1,1,3,2,1,1,2,1,7,4,1,5,3,2,0,0,0,0,0,-0.9,0
550,393,1,0,1,0,1,0,-0.2,-9,0,0,-1.8766,-1.8766,0,0,-0.52,-1.2179,-0.1669,-9,2,1,2,2,1,2,1,1,4,2,4,1,2,4,0,0,0,-9,3,0.7,0
550,393,2,1,1,1,3,25,0.749,0,5,0,0.1002,0,0.1002,0,0.459,0.608,0.2734,0,2,1,2,2,1,2,1,1,4,2,4,1,2,4,0,0,0,0,0,1.5,0
550,393,3,0,1,0,2,5,1.058,2,0,1,0.5471,0,0,0.5471,1.4321,0.9483,-0.5072,0,2,1,2,2,1,2,1,1,4,2,4,1,2,4,0,0,0,0,0,-0.8,0
551,394,1,0,1,0,1,0,0.214,3,0,0,1.1808,1.1808,0,0,0.6787,-1.9587,0.7662,0.5,2,1,4,2,1,1,2,1,7,3,1,5,3,2,1,1,2,9,1,1.1,0
551,394,2,0,1,1,3,22,0.404,0,5,0,0.4033,0,0.4033,0,-0.5003,0.6904,0.8001,0,2,1,4,2,1,1,2,1,7,3,1,5,3,2,0,0,0,0,0,1.1,0
551,394,3,1,1,0,2,9,0.758,2,0,0.5,-0.4195,0,0,-0.4195,0.8936,0.5545,0.397,0,2,1,4,2,1,1,2,1,7,3,1,5,3,2,0,0,0,0,0,-0.9,0
552,395,1,0,1,0,2,0,0.405,10,0,0,0.6246,0.6246,0,0,0.5917,-0.4097,0.5706,1.5,2,2,5,1,1,1,4,2,5,5,1,6,1,4,0,0,0,9,1,1.2,0
552,395,2,0,1,0,1,0,0.273,0,30,0,-0.5164,0,-0.5164,0,-1.2475,1.0335,0.8889,0,2,2,5,1,1,1,4,2,5,5,1,6,1,4,0,0,0,0,0,1.2,0
552,395,3,1,1,1,3,9,1.136,10,0,0.5,1.4379,0,0,1.4379,1.2177,1.0645,0.0795,0,2,2,5,1,1,1,4,2,5,5,1,6,1,4,0,0,0,0,0,-1.1,0
553,396,1,1,1,0,2,5,0.228,34,0,0,0.09,0.09,0,0,-0.8255,0.0667,0.7183,0.5,2,5,5,2,1,2,3,3,4,5,1,5,3,1,1,1,2,10,1,1,0
